descripcion_tipo_presupuesto,finalidad,funcion,monto
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,471-COMERCIALIZACIÓN Y PROMOCIÓN DE PRODUCTOS,5214188054
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,471-COMERCIALIZACIÓN Y PROMOCIÓN DE PRODUCTOS,3108359064
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,471-COMERCIALIZACIÓN Y PROMOCIÓN DE PRODUCTOS,1270000692
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,471-COMERCIALIZACIÓN Y PROMOCIÓN DE PRODUCTOS,103868000
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,461-PRODUCCION INDUSTRIAL,459351991381
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,461-PRODUCCION INDUSTRIAL,122420555722
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,461-PRODUCCION INDUSTRIAL,53006073841
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,461-PRODUCCION INDUSTRIAL,24482205890
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",295235570021
1-PROGRAMAS DE ADMINISTRACION,20-RECURSOS DEL CREDITO PUBLICO,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",143372821318
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",98245869787
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",78041194079
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",15620328885
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",9550943952
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",6789559477
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",3655947895
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,454-CREDITO AGRICOLA Y PECUARIO,230132542627
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,454-CREDITO AGRICOLA Y PECUARIO,115480000000
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,454-CREDITO AGRICOLA Y PECUARIO,23169302357
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,454-CREDITO AGRICOLA Y PECUARIO,1155845082
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,452-SERVICIOS PECUARIOS,87240501204
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,452-SERVICIOS PECUARIOS,35205510031
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,452-SERVICIOS PECUARIOS,12908399011
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,452-SERVICIOS PECUARIOS,8602976582
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,451-SERVICIOS AGRICOLAS,60195322474
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,451-SERVICIOS AGRICOLAS,37787646683
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,451-SERVICIOS AGRICOLAS,6557626480
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,449-ECOLOGIA Y MEDIO AMBIENTE SIN DISCRIMINAR,19126429187
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,449-ECOLOGIA Y MEDIO AMBIENTE SIN DISCRIMINAR,12178354116
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,442-SERVICIOS DEL MEDIO AMBIENTE,19572189196
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,442-SERVICIOS DEL MEDIO AMBIENTE,12598899589
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,442-SERVICIOS DEL MEDIO AMBIENTE,1246627155
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,442-SERVICIOS DEL MEDIO AMBIENTE,43248568
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,441-SERVICIOS FORESTALES,3775083198
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,441-SERVICIOS FORESTALES,996290050
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,433-TRANSPORTE FLUVIAL,77629737516
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,433-TRANSPORTE FLUVIAL,6048894620
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,432-TRANSPORTE AEREO,182412456553
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,432-TRANSPORTE AEREO,66935865420
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,431-TRANSPORTE TERRESTRE,3433206994
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,421-SERVICIOS POSTALES,43145880012
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,421-SERVICIOS POSTALES,15857058206
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,413-ELECTRICIDAD,2531750854207
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,413-ELECTRICIDAD,1119210832670
