descripcion_tipo_presupuesto,finalidad,funcion,monto
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,233-PROMOCIÓN Y ACCIÓN CORRECTIVA,3634630571
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,231-RECLUSIÓN PENAL,103625222809
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,231-RECLUSIÓN PENAL,45075328348
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,231-RECLUSIÓN PENAL,40475575403
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,231-RECLUSIÓN PENAL,3606235617
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,228-DEMARCACIÓN Y VIGILANCIA DE LÍMITES,3349772315
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,228-DEMARCACIÓN Y VIGILANCIA DE LÍMITES,0
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,226-REGISTRO CIVIL DE LAS PERSONAS,15134608370
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,226-REGISTRO CIVIL DE LAS PERSONAS,11077624925
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,225-IDENTIFICACIONES,21316974806
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,225-IDENTIFICACIONES,0
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,222-MIGRACIONES,20295321165
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,222-MIGRACIONES,11331174513
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,2034142374007
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,102130195736
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,15799998000
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,2328561816
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,1091637032
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,276890145
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,0
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,211-SERVICIOS DE SEGURIDAD NACIONAL,1082866829779
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,211-SERVICIOS DE SEGURIDAD NACIONAL,306259645321
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,211-SERVICIOS DE SEGURIDAD NACIONAL,56160603752
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,211-SERVICIOS DE SEGURIDAD NACIONAL,3703780285
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,211-SERVICIOS DE SEGURIDAD NACIONAL,1748833971
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,211-SERVICIOS DE SEGURIDAD NACIONAL,231578240
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,181-INVERSIÓN EN ADMINISTRACIÓN GUBERNAMENTAL,8352348417
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,181-INVERSIÓN EN ADMINISTRACIÓN GUBERNAMENTAL,2080986729
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,181-INVERSIÓN EN ADMINISTRACIÓN GUBERNAMENTAL,1272946172
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,102190782164
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,94185872004
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,5642090131
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,5369195272
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,4900000
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,142-CONTROL FISCAL,177657782336
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,142-CONTROL FISCAL,138332860353
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,142-CONTROL FISCAL,135761238501
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,142-CONTROL FISCAL,3859969265
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,141-CONT. Y AUD. GUBERNAMENTAL,101654235350
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,141-CONT. Y AUD. GUBERNAMENTAL,28417636563
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,141-CONT. Y AUD. GUBERNAMENTAL,1255386849
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,133-SERVICIO EXTERIOR,253239404797
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,133-SERVICIO EXTERIOR,165871246874
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,133-SERVICIO EXTERIOR,5500976472
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,133-SERVICIO EXTERIOR,2836726898
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,132-ADMINISTRACIÓN GENERAL,61399065642
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,132-ADMINISTRACIÓN GENERAL,11194803905
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,132-ADMINISTRACIÓN GENERAL,8708448364
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,132-ADMINISTRACIÓN GENERAL,663945029
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,132-ADMINISTRACIÓN GENERAL,80904491
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,132-ADMINISTRACIÓN GENERAL,28500000
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,131-CONDUCCIÓN POLITICA,73188367193
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,131-CONDUCCIÓN POLITICA,26711626471
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,131-CONDUCCIÓN POLITICA,3035199393
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,121-JUDICIAL,1491833816672
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,121-JUDICIAL,661033760368
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,121-JUDICIAL,222683546066
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,121-JUDICIAL,66914068232
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,121-JUDICIAL,1965644942
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,121-JUDICIAL,1347663548
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,121-JUDICIAL,438534545
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,111-LEGISLATIVA,426645764599
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,111-LEGISLATIVA,0
