tipo_presupuesto,funcion,anho,monto
2-PROGRAMAS DE ACCIÓN,221-ORDEN PÚBLICO Y SEGURIDAD INTERIOR,2011,1119171822754
1-PROGRAMAS DE ADMINISTRACION,134-ADMINISTRACIÓN MUNICIPAL,2012,1094787120606
3-PROGRAMAS DE INVERSIÓN,491-SERVICIOS DE OBRAS PÚBLICAS,2011,1084623302909
1-PROGRAMAS DE ADMINISTRACION,211-SERVICIOS DE SEGURIDAD NACIONAL,2015,1084615663750
2-PROGRAMAS DE ACCIÓN,492-INVERSIÓN SERVICIOS ECONÓMICOS,2015,1033328309164
3-PROGRAMAS DE INVERSIÓN,413-ELECTRICIDAD,2014,1028788031324
2-PROGRAMAS DE ACCIÓN,343-EDUCACION SUPERIOR Y UNIVERSITARIA,2013,1018949352233
2-PROGRAMAS DE ACCIÓN,342-EDUCACION MEDIA Y TECNICA,2012,1013153774283
1-PROGRAMAS DE ADMINISTRACION,343-EDUCACION SUPERIOR Y UNIVERSITARIA,2011,1001462436756
2-PROGRAMAS DE ACCIÓN,121-JUDICIAL,2011,1001191557377
1-PROGRAMAS DE ADMINISTRACION,413-ELECTRICIDAD,2014,994762717982
1-PROGRAMAS DE ADMINISTRACION,211-SERVICIOS DE SEGURIDAD NACIONAL,2014,993512528517
2-PROGRAMAS DE ACCIÓN,342-EDUCACION MEDIA Y TECNICA,2015,970469946858
2-PROGRAMAS DE ACCIÓN,342-EDUCACION MEDIA Y TECNICA,2013,960909533077
1-PROGRAMAS DE ADMINISTRACION,211-SEGURIDAD NACIONAL,2013,958241227731
2-PROGRAMAS DE ACCIÓN,342-EDUCACION MEDIA Y TECNICA,2014,923548015189
2-PROGRAMAS DE ACCIÓN,343-EDUCACION SUPERIOR Y UNIVERSITARIA,2012,923009720438
2-PROGRAMAS DE ACCIÓN,342-EDUCACION MEDIA Y TECNICA,2011,897790870012
1-PROGRAMAS DE ADMINISTRACION,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,2012,847553166470
1-PROGRAMAS DE ADMINISTRACION,319-SALUD SIN DISCRIMINAR,2015,836633520668
1-PROGRAMAS DE ADMINISTRACION,211-DEFENSA MILITAR,2012,816060631973
2-PROGRAMAS DE ACCIÓN,319-SALUD SIN DISCRIMINAR,2015,748335618705
1-PROGRAMAS DE ADMINISTRACION,121-JUDICIAL,2015,727947828600
2-PROGRAMAS DE ACCIÓN,343-EDUCACION SUPERIOR Y UNIVERSITARIA,2011,723952277898
2-PROGRAMAS DE ACCIÓN,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,2014,714033087758
2-PROGRAMAS DE ACCIÓN,334-SERVICIOS DE JUBILACIONES Y PENSIONES,2016,682005392143
1-PROGRAMAS DE ADMINISTRACION,121-JUDICIAL,2014,681250697883
1-PROGRAMAS DE ADMINISTRACION,331-ADMINISTRACION DE LOS SERVICIOS DE SEGURIDAD SOCIAL,2015,680163760650
4-PROGRAMAS DEL SERVICIO DE LA DEUDA PÚBLICA,511-SERVICIOS DE LA DEUDA PÚBLICA,2016,677411084281
1-PROGRAMAS DE ADMINISTRACION,413-ELECTRICIDAD,2012,674807095524
1-PROGRAMAS DE ADMINISTRACION,349-EDUCACION Y CULTURA SIN DISCRIMINAR,2014,673631375463
3-PROGRAMAS DE INVERSIÓN,413-ELECTRICIDAD,2013,658696092619
